Date,Open,High,Low,Close,Adj Close,Volume
2007-06-22,134.949997,135.179993,133.539993,133.970001,98.726677,22142200
2007-06-25,133.809998,134.770004,132.889999,133.619995,98.468704,18960000
2007-06-26,133.809998,134.429993,132.800003,132.800003,97.864441,21826500
2007-06-27,132.710007,134.220001,132.529999,134.119995,98.837212,20981000
2007-06-28,134.089996,135.100006,133.899994,134.089996,98.815079,13935600
2007-06-29,134.360001,135.119995,132.850006,134.199997,98.896179,19466600
2007-07-02,134.419998,135.369995,134.380005,135.270004,99.684723,8861200
2007-07-03,135.509995,135.860001,135.339996,135.690002,99.994209,7521000
2007-07-05,135.580002,135.720001,135.050003,135.559998,99.898407,9392200
2007-07-06,135.630005,136.309998,135.360001,136.130005,100.318382,8218700
2007-07-09,136.389999,136.690002,136.130005,136.479996,100.576355,9688800
2007-07-10,136.070007,136.250000,134.869995,135.020004,99.500381,12622800
2007-07-11,134.889999,135.929993,134.750000,135.899994,100.148972,16698200
2007-07-12,136.330002,138.669998,136.320007,138.339996,101.947029,13518100
2007-07-13,138.470001,139.300003,138.410004,138.910004,102.367111,8507800
2007-07-16,138.979996,139.860001,138.919998,139.460007,102.772400,11637900
2007-07-17,139.630005,140.460007,139.529999,139.800003,103.022942,13299300
2007-07-18,139.330002,139.699997,138.279999,139.330002,102.676590,20804700
2007-07-19,139.929993,140.169998,139.529999,139.889999,103.089272,8731800
2007-07-20,139.220001,139.559998,137.880005,138.539993,102.214241,19277200
2007-07-23,139.110001,139.619995,138.809998,139.210007,102.708572,12709000
2007-07-24,138.500000,138.820007,136.899994,137.270004,101.277275,20848000
2007-07-25,137.960007,138.100006,136.440002,137.500000,101.446968,22438800
2007-07-26,136.550003,137.139999,131.139999,134.710007,99.388489,46788100
2007-07-27,134.619995,135.100006,132.110001,132.110001,97.470207,31428100
2007-07-30,132.919998,133.850006,132.130005,133.539993,98.525269,22838700
2007-07-31,134.279999,134.830002,131.699997,132.169998,97.514473,23253600
2007-08-01,131.889999,133.789993,131.199997,133.410004,98.429352,42193500
2007-08-02,133.509995,135.000000,132.979996,134.779999,99.440102,22635400
2007-08-03,134.440002,134.720001,131.539993,132.190002,97.529251,34061000
2007-08-06,132.399994,134.610001,131.539993,134.199997,99.012245,31192300
2007-08-07,133.889999,136.029999,133.389999,135.050003,99.639397,25705000
2007-08-08,135.389999,136.960007,134.880005,136.550003,100.746063,27549800
2007-08-09,134.630005,135.820007,132.770004,132.789993,97.971947,38884900
2007-08-10,131.899994,133.119995,130.639999,131.940002,97.344818,37277200
2007-08-13,133.240005,133.440002,132.149994,132.179993,97.521843,17085800
2007-08-14,132.539993,132.899994,130.289993,130.490005,96.275002,20864000
2007-08-15,130.210007,131.289993,128.470001,128.850006,95.065056,28964000
2007-08-16,127.839996,129.259995,125.309998,129.149994,95.286362,52563400
2007-08-17,131.240005,131.860001,128.949997,130.550003,96.532310,33292800
2007-08-20,130.949997,131.699997,129.699997,130.960007,96.835464,16906000
2007-08-21,130.820007,131.660004,130.419998,130.679993,96.628426,14383300
2007-08-22,131.580002,132.399994,131.350006,132.289993,97.818863,12808700
2007-08-23,132.720001,133.080002,131.619995,132.169998,97.730133,14056300
2007-08-24,132.190002,133.750000,132.029999,133.639999,98.817146,9666100
2007-08-27,133.350006,133.789993,132.979996,133.119995,98.432632,8506400
2007-08-28,132.539993,132.699997,130.309998,130.490005,96.487946,13055600
2007-08-29,131.080002,132.949997,130.970001,132.740005,98.151657,10693800
2007-08-30,131.910004,133.100006,131.750000,132.570007,98.025932,12705200
2007-08-31,133.559998,134.250000,132.899994,133.399994,98.639664,11117600
2007-09-04,133.220001,134.889999,133.110001,134.339996,99.334770,11602900
2007-09-05,133.770004,133.820007,132.490005,133.220001,98.506554,11230800
2007-09-06,133.479996,133.979996,132.759995,133.529999,98.735809,10084000
2007-09-07,132.369995,132.419998,130.830002,131.520004,97.249596,18245400
2007-09-10,131.839996,132.070007,130.240005,131.429993,97.182976,14392100
2007-09-11,131.899994,133.270004,131.809998,133.080002,98.403008,11502400
2007-09-12,132.929993,133.690002,132.729996,133.250000,98.528732,11402900
2007-09-13,133.880005,134.779999,133.669998,134.300003,99.305168,8318400
2007-09-14,133.539993,134.690002,133.350006,134.460007,99.423462,10337200
2007-09-17,134.119995,134.589996,133.690002,134.059998,99.127708,8774100
2007-09-18,134.690002,137.479996,134.410004,137.350006,101.560402,18362400
2007-09-19,138.190002,139.309998,137.889999,138.160004,102.159378,13554200
2007-09-20,138.289993,138.309998,137.529999,137.699997,101.819229,9651600
2007-09-21,138.369995,139.020004,137.899994,137.899994,102.142944,8249600
2007-09-24,138.360001,138.649994,137.369995,137.550003,101.883705,9445500
2007-09-25,137.029999,137.820007,136.830002,137.720001,102.009644,13487100
2007-09-26,138.360001,139.009995,138.039993,138.529999,102.609497,8384000
2007-09-27,139.059998,139.130005,138.550003,139.130005,103.053955,8948300
2007-09-28,138.960007,139.100006,138.360001,138.910004,102.891022,10128400
2007-10-01,138.960007,141.000000,138.960007,140.600006,104.142807,10164200
2007-10-02,140.800003,140.910004,140.000000,140.119995,103.787239,12705600
2007-10-03,139.889999,140.270004,139.380005,139.610001,103.409439,7918300
2007-10-04,139.899994,140.039993,139.429993,139.509995,103.335442,7234600
2007-10-05,140.429993,141.210007,140.139999,140.679993,104.202087,9357800
2007-10-08,140.559998,140.580002,140.009995,140.259995,103.890930,5129400
2007-10-09,140.669998,141.649994,140.300003,141.570007,104.861298,9070400
2007-10-10,141.389999,141.440002,140.050003,140.729996,104.239082,9729400
2007-10-11,141.360001,141.949997,139.460007,140.210007,103.853874,21857700
2007-10-12,140.369995,141.119995,140.089996,141.119995,104.527931,7714600
2007-10-15,141.080002,141.110001,139.009995,140.020004,103.713158,12383600
2007-10-16,139.600006,139.649994,138.720001,139.160004,103.076187,13953500
2007-10-17,140.110001,140.179993,137.740005,139.160004,103.076187,20261500
2007-10-18,138.529999,139.160004,138.220001,138.800003,102.809509,11615700
2007-10-19,137.910004,138.750000,134.929993,134.929993,100.053276,33071200
2007-10-22,134.059998,135.759995,133.919998,135.449997,100.438904,16391200
2007-10-23,136.169998,136.679993,135.270004,136.419998,101.158195,13325600
2007-10-24,136.100006,136.789993,134.559998,136.500000,101.217499,22583800
2007-10-25,136.710007,137.289993,135.350006,136.899994,101.514168,16618800
2007-10-26,137.610001,138.059998,136.839996,137.949997,102.292702,9929800
2007-10-29,138.279999,138.869995,138.160004,138.649994,102.811752,8663400
2007-10-30,138.190002,138.550003,137.660004,137.820007,102.196327,8531000
2007-10-31,138.440002,139.529999,137.259995,138.949997,103.034195,19378200
2007-11-01,137.860001,137.899994,135.380005,135.850006,100.735535,25301400
2007-11-02,136.190002,136.229996,134.380005,136.050003,100.883842,20988000
2007-11-05,134.839996,136.110001,134.399994,135.210007,100.260910,13954800
2007-11-06,135.830002,136.619995,135.050003,136.509995,101.224922,11092400
2007-11-07,135.179993,135.729996,132.929993,133.350006,98.881744,18182700
2007-11-08,133.520004,133.600006,130.830002,132.449997,98.214363,38375700
2007-11-09,131.289993,132.080002,130.179993,130.309998,96.627495,20911400
2007-11-12,130.350006,131.649994,129.740005,129.770004,96.227066,20703800
2007-11-13,130.839996,133.399994,130.800003,133.139999,98.726013,15043400
2007-11-14,133.960007,133.990005,132.240005,132.710007,98.407173,13708200
2007-11-15,132.160004,132.889999,130.820007,131.470001,97.487640,18693600
2007-11-16,131.750000,132.020004,130.399994,131.440002,97.746468,22485600
2007-11-19,131.020004,131.660004,129.270004,129.600006,96.378098,21362600
2007-11-20,129.830002,131.000000,128.320007,130.330002,96.920967,29928200
2007-11-21,129.119995,129.639999,127.790001,127.790001,95.032074,18182400
2007-11-23,128.720001,129.679993,128.610001,129.419998,96.244247,7232400
2007-11-26,129.699997,130.320007,127.250000,127.459999,94.786705,11480600
2007-11-27,127.940002,129.910004,127.709999,129.320007,96.169891,23078300
2007-11-28,130.479996,133.250000,130.410004,132.830002,98.780144,17995800
2007-11-29,132.490005,133.479996,132.179993,133.169998,99.032936,15940400
2007-11-30,134.520004,134.699997,132.850006,134.160004,99.769165,18892200
2007-12-03,133.690002,134.089996,132.979996,133.309998,99.137108,12645700
2007-12-04,132.509995,133.179993,132.360001,132.429993,98.482697,8191700
2007-12-05,133.690002,134.669998,133.539993,134.449997,99.984886,11851000
2007-12-06,134.389999,136.399994,134.309998,136.080002,101.197006,12317200
2007-12-07,136.449997,136.770004,136.089996,136.389999,101.427536,8477600
2007-12-10,136.779999,137.630005,136.509995,137.399994,102.178604,7327600
2007-12-11,137.539993,137.899994,134.210007,134.399994,99.947639,20363200
2007-12-12,136.940002,137.119995,133.330002,135.000000,100.393860,15786800
2007-12-13,134.279999,135.360001,133.630005,135.000000,100.393860,14104200
2007-12-14,134.350006,135.130005,133.419998,133.449997,99.241173,12506900
2007-12-17,132.990005,133.149994,131.690002,131.929993,98.110809,10828800
2007-12-18,132.669998,132.919998,131.059998,132.550003,98.571877,13719100
2007-12-19,132.509995,133.119995,131.580002,132.270004,98.363708,14342800
2007-12-20,132.809998,132.839996,131.660004,132.710007,98.690918,12707000
2007-12-21,133.399994,134.649994,133.300003,134.339996,100.145325,11031800
2007-12-24,134.789993,135.479996,134.740005,135.309998,100.868423,3655600
2007-12-26,135.009995,135.500000,134.789993,135.419998,100.950356,5743000
2007-12-27,134.929993,134.990005,133.350006,133.679993,99.653252,8127800
2007-12-28,134.220001,134.399994,132.820007,133.410004,99.452003,7819200
2007-12-31,133.130005,133.240005,132.160004,132.550003,98.810921,6463400
2008-01-02,132.470001,132.669998,129.820007,130.630005,97.379639,14811000
2008-01-03,130.710007,131.270004,130.130005,130.740005,97.461662,8206300
2008-01-04,129.570007,129.729996,127.820000,128.169998,95.545815,15022600
2008-01-07,128.539993,128.740005,127.220001,128.059998,95.463783,19666500
2008-01-08,128.529999,129.000000,125.629997,125.849998,93.816277,21236800
2008-01-09,126.120003,127.389999,125.010002,126.959999,94.643738,24161600
2008-01-10,126.519997,129.320007,126.290001,127.820000,95.284897,25310700
2008-01-11,127.519997,127.580002,125.410004,126.190002,94.069794,22464400
2008-01-14,127.279999,127.919998,126.690002,127.510002,95.053757,7932600
2008-01-15,126.489998,126.910004,124.879997,125.300003,93.406334,19807000
2008-01-16,124.639999,126.139999,123.940002,124.650002,92.921745,25572000
2008-01-17,125.050003,125.199997,121.269997,121.769997,90.774818,30879600
2008-01-18,122.330002,123.279999,120.120003,120.570000,89.983788,35591900
2008-01-22,116.309998,120.690002,115.800003,119.220001,88.976219,38318000
2008-01-23,117.239998,122.809998,116.379997,122.699997,91.573418,42838800
2008-01-24,122.900002,123.919998,122.260002,123.430000,92.118210,20563200
2008-01-25,124.639999,124.709999,121.720001,122.190002,91.192780,19580700
2008-01-28,122.019997,123.800003,121.000000,123.529999,92.192841,19403800
2008-01-29,124.250000,124.900002,123.339996,124.540001,92.946625,15255000
2008-01-30,124.209999,126.680000,123.480003,123.779999,92.379448,24848200
2008-01-31,122.669998,126.900002,122.410004,126.000000,94.036201,22253400
2008-02-01,126.489998,127.610001,125.959999,127.430000,95.103477,18098700
2008-02-04,127.209999,127.260002,125.980003,126.029999,94.058632,11722300
2008-02-05,124.690002,124.879997,122.550003,122.959999,91.767441,16359000
2008-02-06,123.410004,123.919998,121.809998,122.260002,91.245026,14255000
2008-02-07,121.599998,123.389999,121.250000,122.730003,91.595795,21041800
2008-02-08,122.180000,122.879997,121.080002,121.750000,90.864403,15522000
2008-02-11,121.690002,122.589996,120.760002,122.320000,91.289787,11659200
2008-02-12,123.169998,124.739998,122.959999,123.769997,92.371994,18453800
2008-02-13,124.510002,125.849998,124.160004,125.260002,93.483994,12484200
2008-02-14,125.690002,125.699997,123.750000,124.010002,92.551079,11294600
2008-02-15,123.339996,123.570000,122.669998,123.330002,92.218307,9758200
2008-02-19,124.730003,124.949997,122.959999,123.680000,92.480042,9395500
2008-02-20,122.540001,124.570000,122.230003,124.089996,92.786575,15681700
2008-02-21,124.680000,124.980003,122.470001,123.199997,92.121109,13487600
2008-02-22,123.209999,124.050003,121.559998,123.800003,92.569771,13727300
2008-02-25,123.720001,125.849998,123.410004,125.570000,93.893250,14534100
2008-02-26,125.139999,127.330002,125.110001,126.809998,94.820435,13934400
2008-02-27,126.220001,127.570000,126.110001,126.830002,94.835381,11539600
2008-02-28,126.099998,126.470001,125.379997,125.839996,94.095154,8998300
2008-02-29,124.699997,124.699997,122.279999,123.010002,91.979034,17088200
2008-03-03,122.470001,122.849998,121.650002,122.500000,91.597687,11889700
2008-03-04,121.510002,122.419998,120.360001,122.400002,91.522896,20448800
2008-03-05,122.629997,123.589996,121.540001,122.870003,91.874397,14589300
2008-03-06,122.199997,122.389999,120.309998,120.800003,90.326584,13426700
2008-03-07,119.470001,121.040001,118.300003,118.930000,88.928307,20097400
2008-03-10,119.290001,119.309998,117.459999,117.980003,88.217957,17788000
2008-03-11,120.000000,122.059998,118.949997,122.059998,91.268723,20303000
2008-03-12,122.029999,123.209999,121.120003,121.400002,90.775208,13040900
2008-03-13,119.820000,122.370003,118.970001,121.510002,90.857430,24138600
2008-03-14,122.370003,122.370003,118.510002,120.019997,89.743340,29251700
2008-03-17,117.680000,120.959999,117.650002,120.089996,89.795639,27004300
2008-03-18,121.809998,124.250000,121.199997,124.050003,92.756744,23106900
2008-03-19,124.480003,124.820000,121.019997,121.440002,90.805077,17636700
2008-03-20,121.510002,123.690002,120.900002,123.110001,92.278763,15866800
